gameId,name,start_date,end_date,city,country,region,total_prize
,The Overguard: Haste Overwatch $1k Series 4,2017-10-21,2017-10-21,Online,Americas,Americas,1020.00
,Sancta Domenica Gaming Day,2017-10-21,2017-10-21,Zagreb,Croatia,Europe,3553.00
,Grail Quest 2017,2017-10-19,2017-10-20,Turku,Finland,Europe,1780.00
,Overwatch APEX Challengers Season 5,2017-08-28,2017-10-19,Online,South Korea,Asia,5728.00
,Legend Series Overwatch,2017-07-26,2017-10-07,Poznań,Poland,Europe,3467.00
,Open Division 2017 Season 1 - Korea,2017-07-23,2017-08-13,Seoul,South Korea,Asia,10606.00
,The Overguard: Haste Overwatch $1k Series 3,2017-09-02,2017-09-02,Online,Americas,Americas,1020.00
,2016-2017 CSL Overwatch,2017-07-08,2017-08-29,United States,USA,Americas,4000.00
,Assembly Summer 2017 BYOC,2017-08-04,2017-08-05,Helsinki,Finland,Europe,2480.00
,ASUS ROG Tournament 2017 - Summer,2017-08-03,2017-08-04,Helsinki,Finland,Europe,9500.00
,Nexus Cup 2017 - Summer,2017-07-17,2017-07-26,Online,China,Asia,11760.00
,Overwatch GeForce Cup Bahrain,2017-06-30,2017-06-30,Bahrain,Bahrain,Asia,4000.00
,Turkey Overwatch Championship,2017-06-12,2017-07-24,Online,Europe,Europe,6371.00
,Overwatch Cybergamer OCE Circuit - Professional,2017-04-17,2017-06-11,Adelaide,Australia,Australia,7567.00
,DreamHack Valencia 2017,2017-07-13,2017-07-16,Valencia,Spain,Europe,5040.00
,Davich Overwatch Amateur League,2017-07-01,2017-07-15,Online,South Korea,Asia,3514.00
,Overwatch APEX Challengers Season 4,2017-05-24,2017-07-12,Online,South Korea,Asia,5662.00
,BEAT Invitational - Season 2,2017-07-07,2017-07-09,Online,Americas,Americas,6000.00
,GAME Stadium,2017-05-08,2017-07-09,Madrid,Spain,Europe,9792.00
,The Overguard: Haste Overwatch $1k Series 2,2017-07-08,2017-07-08,Online,Americas,Americas,1020.00
,Lion City Esports Cup,2017-06-17,2017-07-01,Singapore,Singapore,Asia,2932.00
,AOC OPEN,2017-07-01,2017-07-01,Tokyo,Japan,Asia,4355.00
,Overwatch Spring Open,2017-05-12,2017-06-23,Online,Europe,Europe,2300.00
,DreamHack Summer 2017 BYOC,2017-06-18,2017-06-19,Jönköping,Sweden,Europe,6800.00
,Athena Cup Open League Finals,2017-06-17,2017-06-18,Online,Americas,Americas,1406.00
,Overwatch Summer Meltdown,2017-06-18,2017-06-18,Chicago,USA,Americas,3000.00
,Vectorama 2017,2017-06-09,2017-06-10,Oulu,Finland,Europe,2599.00
,SnasGOLD SnasGOLD #2,2017-06-03,2017-06-04,Online,Europe,Europe,2288.00
,ESL Italia Championship Summer 2017,2017-02-27,2017-06-03,Online,Europe,Europe,8855.00
,GeForce CUP - Japan,2017-05-20,2017-06-03,Japan,Japan,Asia,5394.00
,Overwatch King of Solo,2017-05-24,2017-05-30,Shanghai,China,Asia,6615.00
,ESL ANZ Season 1: Championship Final,2017-05-27,2017-05-28,Sydney,Australia,Australia,7629.00
,Spring Invitational,2017-05-06,2017-05-07,Online,Americas,Americas,5000.00
,King of Nordic: BirdieLAN 27,2017-05-26,2017-05-26,Uppsala,Sweden,Europe,5750.00
,Overwatch SEA Tournament,2017-04-29,2017-05-06,Online,Southeast Asia,Asia,5000.00
,DreamHack Austin 2017,2017-04-29,2017-04-30,Austin,USA,Americas,2000.00
,Swiss Gaming Challenge 2017,2017-04-30,2017-04-30,Basel,Switzerland,Europe,2408.00
,Overwatch Premier Circuit,2017-03-07,2017-05-19,Online,Europe,Europe,3260.00
,Middle East Gaming #1,2017-05-19,2017-05-19,Dubai,United Arab Emirates,Asia,8167.00
,TelenorLIGAEN Spring 2017 Division 1,2017-02-05,2017-05-14,Online,Europe,Europe,3245.00
,Overwatch GeForce Cup Middle East,2017-04-22,2017-04-22,Online,Europe,Europe,6000.00
,DreamHack Tours 2017 BYOC,2017-05-06,2017-05-08,Tours,France,Europe,9842.00
,PolyLAN29,2017-04-14,2017-04-18,Genève,Switzerland,Europe,2589.00
,Gamers Assembly 2017,2017-04-15,2017-04-17,Poitiers,France,Europe,8526.00
,Insomnia60 Overwatch Open,2017-04-14,2017-04-17,Birmingham,United Kingdom,Europe,3172.00
,True Overwatch Elite #3,2017-03-11,2017-03-26,Online,Japan,Asia,1423.00
,CPH Games Copenhagen Games 2017,2017-04-13,2017-04-15,Copenhagen,Denmark,Europe,9000.00
,Lantrek 2017,2017-03-03,2017-03-04,Tampere,Finland,Europe,1848.00
,Road to APEX,2017-04-01,2017-04-09,Seoul,South Korea,Asia,10606.00
,Overwatch OMEN CUP by HP,2017-04-08,2017-04-09,Online,Japan,Asia,3213.00
,Japan e-Sports Championships 2017,2017-02-25,2017-02-26,Tokyo,Japan,Asia,3695.00
,Montpellier eSport Show,2017-02-25,2017-02-25,Montpellier,France,Europe,9815.00
,Game In Pro 2017,2017-04-06,2017-04-06,Israel,Israel,Asia,4000.00
,Overwatch Singapore Tournament 2017,2017-04-01,2017-04-01,Singapore,Singapore,Asia,3611.00
,Overwatch APEX Challengers Season 3,2017-02-09,2017-03-30,Online,South Korea,Asia,8875.00
,Nexus Cup 2017 - Spring,2017-02-22,2017-03-16,Online,China,Asia,8700.00
,DouyuTV NGA Cup - Season 3,2017-02-27,2017-03-15,Online,China,Asia,8410.00
,ASUS ROG Trials of Champions,2017-03-10,2017-03-10,Dubai,United Arab Emirates,Asia,5715.00
,The MRO Overwatch: Open,2017-03-14,2017-03-25,Ta'Qali,Malta,Europe,1079.00
,Agents Series Agents Duel,2017-03-09,2017-03-23,Online,Americas,Americas,8400.00
,Fnac - Overwatch Challenge 2,2017-03-19,2017-03-19,Lisbon,Portugal,Europe,2655.00
,Agents Series Agents Fireteam,2017-02-09,2017-02-23,Online,Americas,Americas,9900.00
,Overwatch XTRA Cup,2017-01-28,2017-01-28,Paris,France,Europe,5275.00
,Enter The Arena: Overwatch Enter The Arena: Overwatch,2017-02-18,2017-02-20,Online,Americas,Americas,2400.00
,Gaming WinterFest,2017-02-18,2017-02-19,France,France,Europe,2125.00
,Overwatch GeForce Cup - Middle East & North Africa,2017-01-28,2017-02-05,Online,Europe,Europe,4900.00
,JCG/Master JCG Master 2016-2017 Winter Finals,2017-01-14,2017-02-05,Tokyo,Japan,Asia,1834.00
,Assembly Winter 2017 BYOC #2,2017-02-04,2017-02-04,Helsinki,Finland,Europe,1762.00
,Assembly Winter 2017,2017-02-03,2017-02-04,Helsinki,Finland,Europe,5300.00
,Assembly Winter 2017 BYOC #1,2017-02-03,2017-02-03,Helsinki,Finland,Europe,1762.00
