2017-10-04 - 2017-10-07,World Cyber Arena 2017 - MENA,"$50,511.65"
2017-09-29 - 2017-10-01,Almeo Esports Cup,"$43,806.00"
2017-09-20 - 2017-09-30,D2CL Season 13,"$5,000.00"
2017-09-11 - 2017-09-17,SLTV ProSeries Season XX,"$2,500.00"
2017-08-06 - 2017-09-16,Fantasy Expo Challenge Season 4,$250.26
2017-09-07 - 2017-09-10,WESG 2017 - Chinese Finals,"$26,985.00"
2017-08-20 - 2017-08-26,D2CL Season 12,"$5,000.00"
2017-04-26 - 2017-08-21,ESL India Premiership 2017,"$14,922.57"
2017-08-02 - 2017-08-12,The International 2017,"$24,787,919.00"
2017-06-03 - 2017-07-31,ProDotA Cup Americas,"$7,000.00"
2017-06-12 - 2017-07-23,BITS #1,"$5,000.00"
2017-05-04 - 2017-07-22,DreamLeague Season 7,"$243,000.00"
2017-03-17 - 2017-07-18,OverPower Cup,"$8,000.00"
2017-07-04 - 2017-07-17,WCA 2017 - Asia-Pacific Qualifiers,"$51,695.00"
2017-07-05 - 2017-07-09,Mars Dota 2 League 2017,"$250,000.00"
2017-07-07 - 2017-07-09,The Final Match 2017,"$50,000.00"
2017-06-15 - 2017-06-18,epic.TWENTY ONE,"$1,593.85"
2017-06-14 - 2017-06-18,Galaxy Battles,"$150,000.00"
2017-06-14 - 2017-06-18,The Summit 7,"$100,000.00"
2017-06-09 - 2017-06-12,SLTV ProSeries Season XIX,"$2,500.00"
2017-06-04 - 2017-06-11,EPICENTER 2017,"$500,000.00"
2017-05-30 - 2017-06-03,ZOTAC Cup Masters,"$100,000.00"
2017-04-01 - 2017-05-28,Russian e-Sports Cup 2017,"$56,723.20"
2017-05-25 - 2017-05-28,The Manila Masters,"$250,000.00"
2017-05-16 - 2017-05-25,Dota 2 BEAT Invitational Season 8,"$10,000.00"
2017-05-19 - 2017-05-21,Telkom DGL Masters Cup 2017,"$8,064.34"
2017-05-18 - 2017-05-20,StarLadder i-League Invitational #2,"$100,000.00"
2017-05-13 - 2017-05-14,SEA vs AUS Invitational 2017,"$3,721.00"
2017-05-05 - 2017-05-11,Niu League 2017 Season 2,"$10,000.00"
2017-04-24 - 2017-04-30,The Kiev Major 2017,"$3,000,000.00"
2017-03-22 - 2017-04-26,SEA Kappa Invitational Season 4,"$20,000.00"
2017-02-03 - 2017-04-24,Swiss Dota League Season 1,"$3,544.30"
2017-04-23,Carapace Cup,$196.35
2017-04-23,Indonesia Games Championship,"$15,000.00"
2017-04-13 - 2017-04-23,VPGame Challenge League Season 3,"$4,345.80"
2017-03-15 - 2017-04-20,Dota2 Professional League Season 3,"$87,150.02"
2017-02-03 - 2017-04-20,German Dota League Season 1,"$6,736.51"
2017-03-03 - 2017-04-17,Betway Arena King of the Hill,"$25,000.00"
