Rift Rivals 2017: GPL vs LJL vs OPL,4,Garena Premier League GPL,GIGABYTE Marines
Rift Rivals 2017: GPL vs LJL vs OPL,5,Garena Premier League GPL,Ascension Gaming
Rift Rivals 2017: GPL vs LJL vs OPL,6,Garena Premier League GPL,Mineski
Rift Rivals 2017: GPL vs LJL vs OPL,7,Oceanic Pro League OPL,Dire Wolves
Rift Rivals 2017: GPL vs LJL vs OPL,8,Oceanic Pro League OPL,Legacy Esports
Rift Rivals 2017: GPL vs LJL vs OPL,9,Oceanic Pro League OPL,Sin Gaming
EU LCS Spring 2017,1,85600,G2 Esports
EU LCS Spring 2017,2,53500,Unicorns Of Love
EU LCS Spring 2017,3,32100,Fnatic
EU LCS Spring 2017,4,21400,Misfits Gaming
Mid-Season Invitational 2017,1,676000,SK Telecom T1
Mid-Season Invitational 2017,2,338000,G2 Esports
Mid-Season Invitational 2017,3,169000,Flash Wolves
Mid-Season Invitational 2017,4,169000,Team WE
LMS Spring 2017,1,49287,Flash Wolves
LMS Spring 2017,2,19714,ahq e-Sports Club
LMS Spring 2017,3,13143,J Team
LMS Spring 2017,4,6571,Machi Esports
NA LCS Spring 2017,1,100000,Team SoloMid
NA LCS Spring 2017,2,50000,Cloud9
NA LCS Spring 2017,3,30000,Phoenix1
NA LCS Spring 2017,4,20000,FlyQuest
IEM Season XI - World Championship,1,70000,Flash Wolves
IEM Season XI - World Championship,2,30000,G2 Esports
IEM Season XI - World Championship,3,15000,ROX Tigers
IEM Season XI - World Championship,4,15000,H2K
EU LCS Summer 2016,1,50000,G2 Esports
EU LCS Summer 2016,2,25000,Splyce
EU LCS Summer 2016,3,15000,H2K
EU LCS Summer 2016,4,10000,Unicorns Of Love
2016 World Championship,1,2028000,SK Telecom T1
2016 World Championship,2,760500,Samsung Galaxy
2016 World Championship,3,380250,ROX Tigers
2016 World Championship,4,380250,H2K
NA LCS Summer 2016,1,50000,Team SoloMid
NA LCS Summer 2016,2,25000,Cloud9
NA LCS Summer 2016,3,15000,Immortals
NA LCS Summer 2016,4,10000,Counter Logic Gaming
LCK Summer 2016,1,90200,ROX Tigers
LCK Summer 2016,2,54120,KT Rolster
LCK Summer 2016,3,27060,SK Telecom T1
LCK Summer 2016,4,18040,Samsung Galaxy
Mid-Season Invitational 2016,1,250000,SK Telecom T1
Mid-Season Invitational 2016,2,100000,Counter Logic Gaming
Mid-Season Invitational 2016,3,50000,Royal Never Give Up
Mid-Season Invitational 2016,4,50000,Flash Wolves
LPL Spring 2016,1,229500,Royal Never Give Up
LPL Spring 2016,2,122400,EDward Gaming
LPL Spring 2016,3,76500,Team WE
LPL Spring 2016,4,45900,QG Reapers
NA LCS Spring 2016,1,50000,Counter Logic Gaming
NA LCS Spring 2016,2,25000,Team SoloMid
NA LCS Spring 2016,3,15000,Immortals
NA LCS Spring 2016,4,10000,Team Liquid
EU LCS Spring 2016,1,50000,G2 Esports
EU LCS Spring 2016,2,25000,Origen
EU LCS Spring 2016,3,15000,Fnatic
EU LCS Spring 2016,4,10000,H2K
IEM Season X - World Championship,2,20000,Fnatic
IEM Season X - World Championship,1,50000,SK Telecom T1
IEM Season X - World Championship,3,10000,Team SoloMid
IEM Season X - World Championship,4,10000,Royal Never Give Up
2015 World Championship,1,1000000,SK Telecom T1
2015 World Championship,2,250000,KOO Tigers
2015 World Championship,3,150000,Origen
2015 World Championship,4,150000,Fnatic
